iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population
ALB,Europe,Albania,2/25/2020,,,,,,,,,,,,,8,8,0.003,0.003,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,2/26/2020,,,,,,,,,,,,,5,13,0.005,0.002,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,2/27/2020,,,,,,,,,,,,,4,17,0.006,0.001,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,2/28/2020,,,,,,,,,,,,,1,18,0.006,0,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,2/29/2020,,,,,,,,,,,,,8,26,0.009,0.003,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/1/2020,,,,,,,,,,,,,3,29,0.01,0.001,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/2/2020,,,,,,,,,,,,,2,31,0.011,0.001,,,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/3/2020,,,,,,,,,,,,,5,36,0.013,0.002,4,0.001,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/4/2020,,,,,,,,,,,,,6,42,0.015,0.002,4,0.001,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/5/2020,,,,,,,,,,,,,8,50,0.017,0.003,5,0.002,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/6/2020,,,,,,,,,,,,,3,53,0.018,0.001,5,0.002,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/7/2020,,,,,,,,,,,,,5,58,0.02,0.002,5,0.002,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/8/2020,,,,,,,,,,,,,1,59,0.021,0,4,0.001,,,,,,,,,,,,8.33,2877800
ALB,Europe,Albania,3/9/2020,2,2,,,,,0.695,0.695,,,,,18,77,0.027,0.006,7,0.002,,,,,,,,,,,,36.11,2877800
ALB,Europe,Albania,3/10/2020,10,8,,,,,3.475,2.78,,,,,37,114,0.04,0.013,11,0.004,,,,,,,,,,,,41.67,2877800
ALB,Europe,Albania,3/11/2020,12,2,,1,1,,4.17,0.695,,0.347,0.347,,43,157,0.055,0.015,16,0.006,,,,,,,,,,,,51.85,2877800
ALB,Europe,Albania,3/12/2020,23,11,,1,0,,7.992,3.822,,0.347,0,,141,298,0.104,0.049,35,0.012,,,,,,,,,,,,51.85,2877800
ALB,Europe,Albania,3/13/2020,33,10,,1,0,,11.467,3.475,,0.347,0,,159,457,0.159,0.055,58,0.02,,,,,,,,,,,,78.7,2877800
ALB,Europe,Albania,3/14/2020,38,5,5.429,1,0,0.143,13.205,1.737,1.886,0.347,0,0.05,48,505,0.175,0.017,64,0.022,0.085,11.8,,,,,,,,,,78.7,2877800
ALB,Europe,Albania,3/15/2020,42,4,6,1,0,0.143,14.594,1.39,2.085,0.347,0,0.05,27,532,0.185,0.009,68,0.024,0.088,11.3,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/16/2020,51,9,7,1,0,0.143,17.722,3.127,2.432,0.347,0,0.05,31,563,0.196,0.011,69,0.024,0.101,9.9,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/17/2020,55,4,6.429,1,0,0.143,19.112,1.39,2.234,0.347,0,0.05,42,605,0.21,0.015,70,0.024,0.092,10.9,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/18/2020,59,4,6.714,2,1,0.143,20.502,1.39,2.333,0.695,0.347,0.05,60,665,0.231,0.021,73,0.025,0.092,10.9,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/19/2020,64,5,5.857,2,0,0.143,22.239,1.737,2.035,0.695,0,0.05,32,697,0.242,0.011,57,0.02,0.103,9.7,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/20/2020,70,6,5.286,2,0,0.143,24.324,2.085,1.837,0.695,0,0.05,35,732,0.254,0.012,39,0.014,0.136,7.4,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/21/2020,76,6,5.429,2,0,0.143,26.409,2.085,1.886,0.695,0,0.05,46,778,0.27,0.016,39,0.014,0.139,7.2,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/22/2020,89,13,6.714,2,0,0.143,30.926,4.517,2.333,0.695,0,0.05,33,811,0.282,0.011,40,0.014,0.168,6,,,,,,,,,,81.48,2877800
ALB,Europe,Albania,3/23/2020,104,15,7.571,4,2,0.429,36.139,5.212,2.631,1.39,0.695,0.149,,,,,41,0.014,0.185,5.4,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/24/2020,123,19,9.714,5,1,0.571,42.741,6.602,3.376,1.737,0.347,0.199,,,,,40,0.014,0.243,4.1,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/25/2020,146,23,12.429,5,0,0.429,50.733,7.992,4.319,1.737,0,0.149,111,922,0.32,0.039,37,0.013,0.336,3,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/26/2020,174,28,15.714,6,1,0.571,60.463,9.73,5.461,2.085,0.347,0.199,103,1025,0.356,0.036,47,0.016,0.334,3,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/27/2020,186,12,16.571,8,2,0.857,64.633,4.17,5.758,2.78,0.695,0.298,102,1127,0.392,0.035,56,0.019,0.296,3.4,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/28/2020,197,11,17.286,10,2,1.143,68.455,3.822,6.007,3.475,0.695,0.397,79,1206,0.419,0.027,61,0.021,0.283,3.5,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/29/2020,212,15,17.571,10,0,1.143,73.667,5.212,6.106,3.475,0,0.397,111,1317,0.458,0.039,72,0.025,0.244,4.1,,,,,,,,,,84.26,2877800
ALB,Europe,Albania,3/30/2020,223,11,17,11,1,1,77.49,3.822,5.907,3.822,0.347,0.347,90,1407,0.489,0.031,80,0.028,0.212,4.7,,,,,,,,,,84.26,2877800
